mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0		0	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	0
2	1	1	0.75		0	0	4/4	1	1	3/16		1/8	3/2		4	64	E4	4	1
2	1	1	1.0		0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	11
2	1	7/4	0.25		3/16	3/16	4/4	1	1	1/16		1/16	1		6	66	F#4	4	2
2	1	2	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		2	62	D4	4	14
2	1	2	2.0		1/4	1/4	4/4	2	1	1/2		1/2	1		4	64	E4	4	12
2	1	2	0.75		1/4	1/4	4/4	1	1	3/16		1/8	3/2		1	67	G4	4	3
2	1	11/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		6	66	F#4	4	4
2	1	11/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	4
2	1	3	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		7	61	C#4	4	15
2	1	3	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4	9
2	1	3	0.75		1/2	1/2	4/4	1	1	3/16		1/8	3/2		5	71	B4	4	5
2	1	15/4	0.25		11/16	11/16	4/4	1	1	1/16		1/16	1		4	76	E5	5	6
2	1	4	1.0		3/4	3/4	4/4	2	2	1/4		1/4	1		0	60	C4	4	16
2	1	4	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		4	64	E4	4	13
2	1	4	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		0	72	C5	5	10
2	1	4	0.75		3/4	3/4	4/4	1	1	3/16		1/8	3/2		1	79	G5	5	7
2	1	19/4	0.25		15/16	15/16	4/4	1	1	1/16		1/16	1		6	78	F#5	5	8
3	2	5	1.0		0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	26
3	2	5	1.0		0	0	4/4	2	1	1/4		1/4	1		2	62	D4	4	26
3	2	5	1.0		0	0	4/4	1	2	1/4		1/4	1		6	66	F#4	4	23
3	2	5	0.75		0	0	4/4	1	1	3/16		1/8	3/2		2	74	D5	5	17
3	2	23/4	0.25		3/16	3/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	18
3	2	6	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	27
3	2	6	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	27
3	2	6	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		3	69	A4	4	24
3	2	6	0.75		1/4	1/4	4/4	1	1	3/16		1/8	3/2		4	76	E5	5	19
3	2	27/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		2	74	D5	5	20
3	2	7	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	28
3	2	7	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		5	59	B3	3	28
