mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-5	3/4	3/4	0						firstMeasure	2
2	2	-5	3/4	3/4	0							3
3	3	-5	3/4	3/4	0							4
4	4	-5	3/4	3/4	0							5
5	5	-5	3/4	3/4	0							6
6	6	-5	3/4	3/4	0					line		7
7	7	-5	3/4	3/4	0							8
8	8	-5	3/4	3/4	0							9
9	9	-5	3/4	3/4	0							10
10	10	-5	3/4	3/4	0							11
11	11	-5	3/4	3/4	0							12
12	12	-5	3/4	3/4	0					line		13
13	13	-5	3/4	3/4	0							14
14	14	-5	3/4	3/4	0							15
15	15	-5	3/4	3/4	0							16
16	16	-5	3/4	3/4	0					line		17
17	17	-5	3/4	3/4	0							18
18	18	-5	3/4	3/4	0							19
19	19	-5	3/4	3/4	0					page		20
20	20	-5	3/4	3/4	0							21
21	21	-5	3/4	3/4	0							22
22	22	-5	3/4	3/4	0							23
23	23	-5	3/4	3/4	0							24
24	24	-5	3/4	3/4	0							25
25	25	-5	3/4	3/4	0					line		26
26	26	-5	3/4	3/4	0							27
27	27	-5	3/4	3/4	0							28
28	28	-5	3/4	3/4	0							29
29	29	-5	3/4	3/4	0							30
30	30	-5	3/4	3/4	0							31
31	31	-5	3/4	3/4	0					line		32
32	32	-5	3/4	3/4	0							33
33	33	-5	3/4	3/4	0							34
34	34	-5	3/4	3/4	0							35
35	35	-5	3/4	3/4	0							36
36	36	-5	3/4	3/4	0							37
37	37	-5	3/4	3/4	0							38
38	38	-5	3/4	3/4	0							39
39	39	-5	3/4	3/4	0					line		40
40	40	-5	3/4	3/4	0							41
41	41	-5	3/4	3/4	0							42
42	42	-5	3/4	3/4	0					line		43
43	43	-5	3/4	3/4	0							44
44	44	-5	3/4	3/4	0							45
45	45	-5	3/4	3/4	0							46
46	46	-5	3/4	3/4	0							47
47	47	-5	3/4	3/4	0					line		48
48	48	-5	3/4	3/4	0							49
49	49	-5	3/4	3/4	0							50
50	50	-5	3/4	3/4	0							51
51	51	-5	3/4	3/4	0							52
52	52	-5	3/4	3/4	0							53
53	53	-5	3/4	3/4	0							54
54	54	-5	3/4	3/4	0				end		lastMeasure	-1
