mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	3/4	3/4	0	2	firstMeasure					2
2	2	1	3/4	3/4	0	2						3
3	3	1	3/4	3/4	0	3						4
4	4	1	3/4	3/4	0	3						5
5	5	1	3/4	3/4	0	3						6
6	6	1	3/4	3/4	0	3						7
7	7	1	3/4	3/4	0	3						8
8	8	1	3/4	3/4	0	3						9
9	9	1	3/4	3/4	0	3						10
10	10	1	3/4	3/4	0	3						11
11	11	1	3/4	3/4	0	3						12
12	12	1	3/4	3/4	0	3						13
13	13	1	3/4	3/4	0	3						14
14	14	1	3/4	3/4	0	3						15
15	15	1	3/4	3/4	0	3						16
16	16	1	3/4	3/4	0	3						17
17	17	1	3/4	3/4	0	3						18
18	18	1	3/4	3/4	0	3						19
19	19	1	3/4	3/4	0	3						20
20	20	1	3/4	3/4	0	3						21
21	21	1	3/4	3/4	0	3						22
22	22	1	3/4	3/4	0	3						23
23	23	1	3/4	3/4	0	3						24
24	24	1	3/4	3/4	0	3						25
25	25	1	3/4	3/4	0	3						26
26	26	1	3/4	3/4	0	3						27
27	27	1	3/4	3/4	0	3						28
28	28	1	3/4	3/4	0	3						29
29	29	1	3/4	3/4	0	3						30
30	30	1	3/4	3/4	0	3						31
31	31	1	3/4	3/4	0	4						32
32	32	1	3/4	3/4	0	4						33
33	33	1	3/4	3/4	0	4						34
34	34	1	3/4	3/4	0	4						35
35	35	1	3/4	3/4	0	3						36
36	36	1	3/4	3/4	0	3						37
37	37	1	3/4	3/4	0	3						38
38	38	1	3/4	3/4	0	3						39
39	39	1	3/4	3/4	0	3	endRepeat					1, 40
40	40	1	3/4	3/4	0	2						41
41	41	1	3/4	3/4	0	2	lastMeasure		end			-1
