mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	6/8	3/4	0						firstMeasure	2
2	2	0	6/8	3/4	0							3
3	3	0	6/8	3/4	0							4
4	4	0	6/8	3/4	0							5
5	5	0	6/8	3/4	0							6
6	6	0	6/8	3/4	0					line		7
7	7	0	6/8	3/4	0							8
8	8	0	6/8	3/4	0							9
9	9	0	6/8	3/4	0							10
10	10	0	6/8	3/4	0							11
11	11	0	6/8	3/4	0							12
12	12	0	6/8	3/4	0					line		13
13	13	0	6/8	3/4	0							14
14	14	0	6/8	3/4	0							15
15	15	0	6/8	3/4	0							16
16	16	0	6/8	3/4	0							17
17	17	0	6/8	3/4	0							18
18	18	0	6/8	3/4	0					line		19
19	19	0	6/8	3/4	0							20
20	20	0	6/8	3/4	0							21
21	21	0	6/8	3/4	0							22
22	22	0	6/8	3/4	0							23
23	23	0	6/8	3/4	0							24
24	24	0	6/8	3/4	0					line		25
25	25	0	6/8	3/4	0							26
26	26	0	6/8	3/4	0							27
27	27	0	6/8	3/4	0							28
28	28	0	6/8	3/4	0							29
29	29	0	6/8	3/4	0							30
30	30	0	6/8	3/4	0					page		31
31	31	0	6/8	3/4	0							32
32	32	0	6/8	3/4	0							33
33	33	0	6/8	3/4	0							34
34	34	0	6/8	3/4	0							35
35	35	0	6/8	3/4	0							36
36	36	0	6/8	3/4	0					line		37
37	37	0	6/8	3/4	0							38
38	38	0	6/8	3/4	0							39
39	39	0	6/8	3/4	0							40
40	40	0	6/8	3/4	0							41
41	41	0	6/8	3/4	0							42
42	42	0	6/8	3/4	0					line		43
43	43	0	6/8	3/4	0							44
44	44	0	6/8	3/4	0							45
45	45	0	6/8	3/4	0							46
46	46	0	6/8	3/4	0							47
47	47	0	6/8	3/4	0							48
48	48	0	6/8	3/4	0							49
49	49	0	6/8	3/4	0					line		50
50	50	0	6/8	3/4	0							51
51	51	0	6/8	3/4	0							52
52	52	0	6/8	3/4	0							53
53	53	0	6/8	3/4	0							54
54	54	0	6/8	3/4	0							55
55	55	0	6/8	3/4	0					line		56
56	56	0	6/8	3/4	0							57
57	57	0	6/8	3/4	0							58
58	58	0	6/8	3/4	0							59
59	59	0	6/8	3/4	0							60
60	60	0	6/8	3/4	0							61
61	61	0	6/8	3/4	0							62
62	62	0	6/8	3/4	0					line		63
63	63	0	6/8	3/4	0							64
64	64	0	6/8	3/4	0							65
65	65	0	6/8	3/4	0							66
66	66	0	6/8	3/4	0							67
67	67	0	6/8	3/4	0							68
68	68	0	6/8	3/4	0					page		69
69	69	0	6/8	3/4	0							70
70	70	0	6/8	3/4	0							71
71	71	0	6/8	3/4	0							72
72	72	0	6/8	3/4	0							73
73	73	0	6/8	3/4	0							74
74	74	0	6/8	3/4	0					line		75
75	75	0	6/8	3/4	0							76
76	76	0	6/8	3/4	0							77
77	77	0	6/8	3/4	0							78
78	78	0	6/8	3/4	0							79
79	79	0	6/8	3/4	0							80
80	80	0	6/8	3/4	0					line		81
81	81	0	6/8	3/4	0							82
82	82	0	6/8	3/4	0							83
83	83	0	6/8	3/4	0							84
84	84	0	6/8	3/4	0							85
85	85	0	6/8	3/4	0							86
86	86	0	6/8	3/4	0					line		87
87	87	0	6/8	3/4	0							88
88	88	0	6/8	3/4	0							89
89	89	0	6/8	3/4	0							90
90	90	0	6/8	3/4	0							91
91	91	0	6/8	3/4	0							92
92	92	0	6/8	3/4	0					line		93
93	93	0	6/8	3/4	0							94
94	94	0	6/8	3/4	0							95
95	95	0	6/8	3/4	0							96
96	96	0	6/8	3/4	0							97
97	97	0	6/8	3/4	0							98
98	98	0	6/8	3/4	0					line		99
99	99	0	6/8	3/4	0							100
100	100	0	6/8	3/4	0							101
101	101	0	6/8	3/4	0							102
102	102	0	6/8	3/4	0							103
103	103	0	6/8	3/4	0							104
104	104	0	6/8	3/4	0							105
105	105	0	6/8	3/4	0							106
106	106	0	6/8	3/4	0				end		lastMeasure	-1
