mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	2/4	2	1		C.V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
3	3	4	4	4.0	0	0	2/4	2	1		I[I{		C	I	I	I	I							{	M	0	0	0, 4, 1		0	0
5	5	8	8	2.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
6	6	10	10	1.0	0	0	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
6	6	11	11	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
7	7	12	12	2.0	0	0	2/4	2	1		V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
8	8	14	14	1.0	0	0	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
8	8	15	15	1.0	1/4	1/4	2/4	2	1		I|PAC}		C	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
8	8	63/4	63/4	0.0	7/16	7/16	2/4	2	1		{		C	I										{		0	0				
9	9	16	16	2.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
10	10	18	18	1.0	0	0	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
10	10	19	19	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
11	11	20	20	2.0	0	0	2/4	2	1		V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
12	12	22	22	1.0	0	0	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
12	12	23	23	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
13	13	24	24	1.0	0	0	2/4	2	1		V.I{		C	V		I	I							{	M	0	0	0, 4, 1		0	0
13	13	25	25	3.0	1/4	1/4	2/4	2	1		V[V		C	V	V	V	V								M	0	0	1, 5, 2		1	1
15	15	28	28	1.0	0	0	2/4	2	1		I		C	V		I	I								M	0	0	0, 4, 1		0	0
15	15	29	29	1.0	1/4	1/4	2/4	2	1		IVM43(+2)	I(+64)	C	V		IVM43(+2)	IV	M	43	+2					MM7	0	0	0, 4, -1, 3	1	-1	0
16	16	30	30	2.0	0	0	2/4	2	1		I		C	V		I	I								M	0	0	0, 4, 1		0	0
17	17	32	32	1.0	0	0	2/4	2	1		V/V.I		C	V/V		I	I								M	0	0	0, 4, 1		0	0
17	17	33	33	3.0	1/4	1/4	2/4	2	1		V[V		C	V/V	V	V	V								M	0	0	1, 5, 2		1	1
19	19	36	36	1.0	0	0	2/4	2	1		I		C	V/V		I	I								M	0	0	0, 4, 1		0	0
19	19	37	37	1.0	1/4	1/4	2/4	2	1		IVM43(+2)	I(+64)	C	V/V		IVM43(+2)	IV	M	43	+2					MM7	0	0	0, 4, -1, 3	1	-1	0
20	20	38	38	2.0	0	0	2/4	2	1		I]}		C	V/V		I	I					]		}	M	0	0	0, 4, 1		0	0
21	21	40	40	1.0	0	0	2/4	2	1		V.V{		C	V		V	V							{	M	0	0	1, 5, 2		1	1
21	21	41	41	1.0	1/4	1/4	2/4	2	1		#vii%2/vi		C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	6, 8, 5, 2		8	6
22	22	42	42	1.0	0	0	2/4	2	1		vii%43		C	V		vii%43	vii	%	43						%7	0	0	-1, 3, 5, 2		5	-1
22	22	43	43	1.0	1/4	1/4	2/4	2	1		#vii%2/vi		C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	6, 8, 5, 2		8	6
23	23	44	44	1.0	0	0	2/4	2	1		V		C	V		V	V								M	0	0	1, 5, 2		1	1
23	23	45	45	1.0	1/4	1/4	2/4	2	1		#vii%7/vi		C	V		#vii%7/vi	#vii	%	7		vi				%7	0	0	8, 5, 2, 6		8	8
24	24	46	46	2.0	0	0	2/4	2	1		vii%65		C	V		vii%65	vii	%	65						%7	0	0	2, -1, 3, 5		5	2
25	25	48	48	1.0	0	0	2/4	2	1		V		C	V		V	V								M	0	0	1, 5, 2		1	1
25	25	49	49	1.0	1/4	1/4	2/4	2	1		#vii%2/vi		C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	6, 8, 5, 2		8	6
26	26	50	50	1.0	0	0	2/4	2	1		vii%43		C	V		vii%43	vii	%	43						%7	0	0	-1, 3, 5, 2		5	-1
26	26	51	51	1.0	1/4	1/4	2/4	2	1		#vii%2/vi		C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	6, 8, 5, 2		8	6
27	27	52	52	1.0	0	0	2/4	2	1		V		C	V		V	V								M	0	0	1, 5, 2		1	1
27	27	53	53	1.0	1/4	1/4	2/4	2	1		#vii%7/vi		C	V		#vii%7/vi	#vii	%	7		vi				%7	0	0	8, 5, 2, 6		8	8
28	28	54	54	2.0	0	0	2/4	2	1		vii%65}		C	V		vii%65	vii	%	65					}	%7	0	0	2, -1, 3, 5		5	2
29	29	56	56	1.0	0	0	2/4	2	1		V[V7{		C	V	V	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
29	29	57	57	1.0	1/4	1/4	2/4	2	1		IVM65		C	V		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
30	30	58	58	1.0	0	0	2/4	2	1		V65		C	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
30	30	59	59	1.0	1/4	1/4	2/4	2	1		IVM65		C	V		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
31	31	60	60	1.0	0	0	2/4	2	1		V7		C	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
31	31	61	61	1.0	1/4	1/4	2/4	2	1		IVM65		C	V		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1	3
32	32	62	62	1.0	0	0	2/4	2	1		V65		C	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
32	32	63	63	1.0	1/4	1/4	2/4	2	1		IV6		C	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
