mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	11	42	42	1.0	1/4	1/4	2/2	2	1	iii7	vi7/V	E	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
12	11	43	43	1.0	1/2	1/2	2/2	2	1	vi(9)	ii(9)/V	E	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
12	11	44	44	1.0	3/4	3/4	2/2	2	1	vi7	ii7/V	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
13	12	45	45	1.0	0	0	2/2	2	1	vi	ii/V	E	I		vi	vi							m	0	0	3, 0, 4		3	3
13	12	46	46	1.0	1/4	1/4	2/2	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
13	12	47	47	2.0	1/2	1/2	2/2	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
13	12	48	48	0.0	3/4	3/4	2/2	2	1	{		E	I									{		0	0				
14	13	49	49	4.0	0	0	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
15	14	53	53	2.0	0	0	2/2	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	14	55	55	2.0	1/2	1/2	2/2	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
16	15	57	57	1.0	0	0	2/2	2	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
16	15	58	58	1.0	1/4	1/4	2/2	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
16	15	59	59	1.0	1/2	1/2	2/2	2	1	V7(4)		E	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
16	15	60	60	1.0	3/4	3/4	2/2	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	61	61	3.0	0	0	2/2	2	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	16	64	64	1.0	3/4	3/4	2/2	2	1	V{		E	I		V	V						{	M	0	0	1, 5, 2		1	1
18	17	65	65	1.0	0	0	2/2	2	1	iii	vi/V	E	I		iii	iii							m	0	0	4, 1, 5		4	4
18	17	66	66	1.0	1/4	1/4	2/2	2	1	iii7	vi7/V	E	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
18	17	67	67	1.0	1/2	1/2	2/2	2	1	vi(9)	ii(9)/V	E	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
18	17	68	68	1.0	3/4	3/4	2/2	2	1	vi7	ii7/V	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
19	18	69	69	1.0	0	0	2/2	2	1	vi	ii/V	E	I		vi	vi							m	0	0	3, 0, 4		3	3
19	18	70	70	1.0	1/4	1/4	2/2	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
19	18	71	71	2.0	1/2	1/2	2/2	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
19	18	72	72	0.0	3/4	3/4	2/2	2	1	{		E	I									{		0	0				
20	19	73	73	1.0	0	0	2/2	2	1	iii	vi/V	E	I		iii	iii							m	0	0	4, 1, 5		4	4
20	19	74	74	1.0	1/4	1/4	2/2	2	1	iii7	vi7/V	E	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
20	19	75	75	1.0	1/2	1/2	2/2	2	1	vi(9)		E	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
20	19	76	76	1.0	3/4	3/4	2/2	2	1	vi(9)	ii(9)/V	E	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
21	20	77	77	1.0	0	0	2/2	2	1	vi7	ii7/V	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
21	20	78	78	1.0	1/4	1/4	2/2	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
21	20	79	79	2.0	1/2	1/2	2/2	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
21	20	80	80	0.0	3/4	3/4	2/2	2	1	{		E	I									{		0	0				
22	21	81	81	4.0	0	0	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
23	22	85	85	2.0	0	0	2/2	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	22	87	87	2.0	1/2	1/2	2/2	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
24	23	89	89	1.0	0	0	2/2	2	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
24	23	90	90	1.0	1/4	1/4	2/2	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
24	23	91	91	1.0	1/2	1/2	2/2	2	1	V7(4)		E	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
24	23	92	92	1.0	3/4	3/4	2/2	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	24	93	93	4.0	0	0	2/2	2	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
26	25	97	97	12.0	0	0	2/2	2	1	i.i{		E	i		i	i						{	m	0	1	0, -3, 1		0	0
29	28	109	109	4.0	0	0	2/2	2	1	VII		E	i		VII	VII							M	0	1	-2, 2, -1		-2	-2
30	29	113	113	11.0	0	0	2/2	2	1	bII		E	i		bII	bII							M	0	1	-5, -1, -4		-5	-5
32	31	124	124	1.0	3/4	3/4	2/2	2	1	iv		E	i		iv	iv							m	0	1	-1, -4, 0		-1	-1
33	32	125	125	4.0	0	0	2/2	2	1	V|HC}		E	i		V	V					HC	}	M	0	1	1, 5, 2		1	1
34	33	129	129	12.0	0	0	2/2	2	1	i{		E	i		i	i						{	m	0	1	0, -3, 1		0	0
37	36	141	141	4.0	0	0	2/2	2	1	VII		E	i		VII	VII							M	0	1	-2, 2, -1		-2	-2
38	37	145	145	11.0	0	0	2/2	2	1	bII		E	i		bII	bII							M	0	1	-5, -1, -4		-5	-5
40	39	156	156	1.0	3/4	3/4	2/2	2	1	iv		E	i		iv	iv							m	0	1	-1, -4, 0		-1	-1
41	40	157	157	4.0	0	0	2/2	2	1	I.V|HC}		E	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
41	40	160	160	0.0	3/4	3/4	2/2	2	1	{		E	I									{		0	0				
42	41	161	161	1.0	0	0	2/2	2	1	iii	vi/V	E	I		iii	iii							m	0	0	4, 1, 5		4	4
42	41	162	162	1.0	1/4	1/4	2/2	2	1	iii7	vi7/V	E	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
42	41	163	163	1.0	1/2	1/2	2/2	2	1	vi(9)	ii(9)/V	E	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
42	41	164	164	1.0	3/4	3/4	2/2	2	1	vi7	ii7/V	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
43	42	165	165	1.0	0	0	2/2	2	1	vi	ii/V	E	I		vi	vi							m	0	0	3, 0, 4		3	3
43	42	166	166	1.0	1/4	1/4	2/2	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
43	42	167	167	2.0	1/2	1/2	2/2	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
43	42	168	168	0.0	3/4	3/4	2/2	2	1	{		E	I									{		0	0				
44	43	169	169	1.0	0	0	2/2	2	1	iii	vi/V	E	I		iii	iii							m	0	0	4, 1, 5		4	4
44	43	170	170	1.0	1/4	1/4	2/2	2	1	iii7	vi7/V	E	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
44	43	171	171	1.0	1/2	1/2	2/2	2	1	vi(9)	ii(9)/V	E	I		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
44	43	172	172	1.0	3/4	3/4	2/2	2	1	vi7	ii7/V	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
45	44	173	173	1.0	0	0	2/2	2	1	vi	ii/V	E	I		vi	vi							m	0	0	3, 0, 4		3	3
45	44	174	174	1.0	1/4	1/4	2/2	2	1	V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
45	44	175	175	2.0	1/2	1/2	2/2	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
45	44	176	176	0.0	3/4	3/4	2/2	2	1	{		E	I									{		0	0				
46	45	177	177	4.0	0	0	2/2	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
47	46	181	181	2.0	0	0	2/2	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
47	46	183	183	2.0	1/2	1/2	2/2	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
48	47	185	185	2.0	0	0	2/2	2	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
48	47	187	187	2.0	1/2	1/2	2/2	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
49	48	189	189	4.0	0	0	2/2	2	1	V/vi		E	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
50	49	193	193	4.0	0	0	2/2	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
51	50	197	197	1.0	0	0	2/2	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
51	50	198	198	1.0	1/4	1/4	2/2	2	1	viio6		E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
51	50	199	199	1.0	1/2	1/2	2/2	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
51	50	200	200	1.0	3/4	3/4	2/2	2	1	V/vi		E	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
52	51	201	201	1.0	0	0	2/2	2	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
52	51	202	202	1.0	1/4	1/4	2/2	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
52	51	203	203	1.0	1/2	1/2	2/2	2	1	V7(4)		E	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
52	51	204	204	1.0	3/4	3/4	2/2	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
53	52	205	205	4.0	0	0	2/2	2	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
